country,article_count,population_millions,article_coverage,high_quality_count,high_quality_pct
India,980,1371.3,0.7146503318019398,17,0.017346938775510204
Indonesia,210,265.2,0.7918552036199096,10,0.047619047619047616
China,1130,1393.8,0.8107332472377673,41,0.036283185840707964
Uzbekistan,28,32.9,0.851063829787234,2,0.07142857142857142
Ethiopia,101,107.5,0.9395348837209302,2,0.019801980198019802
"Korea, North",36,25.6,1.40625,7,0.19444444444444445
Zambia,25,17.7,1.4124293785310735,0,0.0
Thailand,112,66.2,1.6918429003021147,3,0.026785714285714284
Mozambique,58,30.5,1.901639344262295,0,0.0
Bangladesh,319,166.4,1.9170673076923077,3,0.009404388714733543
