country,article_count,population_millions,article_coverage,high_quality_count,high_quality_pct
"Korea, North",36,25.6,1.40625,7,0.19444444444444445
Saudi Arabia,118,33.4,3.532934131736527,15,0.1271186440677966
Mauritania,48,4.5,10.666666666666666,6,0.125
Central African Republic,66,4.7,14.042553191489361,8,0.12121212121212122
Romania,343,19.5,17.58974358974359,39,0.11370262390670553
Tuvalu,54,0.01,5400.0,5,0.09259259259259259
Bhutan,33,0.8,41.25,3,0.09090909090909091
Dominica,12,0.07,171.42857142857142,1,0.08333333333333333
Syria,128,18.3,6.994535519125683,10,0.078125
Benin,91,11.5,7.913043478260869,7,0.07692307692307693
