nbname_data,pop_data,male_count_data,female_count_data,male_age_data,female_age_data
Rainier Valley,"55,346","26,933","28,412",39,40.3
Orillia,"3,687","1,925","1,762",37,40.1
Delridge,"28,752","13,408","15,344",37.7,39.1
Northgate,"39,714","19,607","20,107",35.7,38
Industrial District,"1,848","1,147",700,52.7,52.4
Foster,"20,021","10,534","9,487",34.6,36.6
Lake City,"32,296","16,037","16,258",39.5,41.7
Ballard,"48,115","23,656","24,458",38.4,37.8
Capitol Hill,"45,253","24,099","21,153",37,38.6
Magnolia,"17,590","8,573","9,016",42.5,41.1
Central Area,"48,559","24,868","23,690",38,38.1
Queen Anne,"43,442","21,211","22,231",35.3,35
Allentown,"9,440","4,848","4,592",36.5,39.2
Georgetown,"1,612",848,764,37.8,40.8
Lawton Park,"8,036","3,917","4,119",42.3,39.8
North Admiral,"13,710","6,440","7,269",43,43.2
University District (U District),"26,886","12,997","13,889",25.5,25.7
Downtown,"34,753","19,920","14,833",36.2,37.7
Mid Beacon Hill,694,426,267,41.1,45.1
North Beacon Hill,"13,602","6,788","6,813",39.3,39.3
Broadview,"7,548","3,789","3,759",40,46.5
Green Lake,"12,126","6,284","5,841",34.7,36.7
Haller Lake,"9,036","4,541","4,495",36.2,39.1
Seward Park,"6,228","2,945","3,282",42,41.6
Wallingford,"20,419","10,768","9,651",32.2,32.2
Greenwood,"22,286","11,007","11,278",36.1,36.1
Fauntleroy,"4,318","2,085","2,233",44.4,45.1
Highland Park,"7,967","3,524","4,442",38,41.6
Interbay,"5,125","2,360","2,764",36.9,37.3
South Beacon Hill,"5,619","3,136","2,483",35.9,39.8
Ravenna,"17,444","8,434","9,010",36.4,39.2
Ranier Beach,"5,506","2,565","2,941",35.5,38.4
Columbia City,"13,201","6,550","6,651",41.2,40.3
Maple Leaf,"13,776","6,771","7,005",36.1,36.6
South Park,"4,215","2,038","2,176",37.4,40.5
North Beach (Blue Ridge),"6,802","3,456","3,345",45.3,45.9
Cascade,"13,920","7,651","6,269",33.7,36.3
Riverview,"2,553","1,260","1,293",38.5,39.7
Matthews Beach,"5,809","2,823","2,985",42,44.8
Wedgwood,"9,274","4,492","4,782",39.1,42.8
Broadway,"19,109","10,378","8,731",36.1,36.2
Madison Park,"4,372","2,203","2,169",45.5,46.6
Duwamish,"1,785",909,876,35.6,37.4
