medianIncome_neighborhood,crimeData_neighborhood,median_income
North Admiral,ALASKA JUNCTION,95183
Alki,ALKI,101227
Ballard,BALLARD NORTH,93255
Ballard,BALLARD SOUTH,93255
Belltown (Denny Triangle),BELLTOWN,82054
Bitter Lake,BITTERLAKE,51726
Brighton,BRIGHTON/DUNLAP,54365.5
Capitol Hill,CAPITOL HILL,100145
Central Area,CENTRAL AREA/SQUIRE PARK,96733
Chinatown,CHINATOWN/INTERNATIONAL DISTRICT,34586
Columbia City,CLAREMONT/RAINIER VISTA,61771
Columbia City,COLUMBIA CITY,61771
Duwamish,COMMERCIAL DUWAMISH,54037
Harbor Island,COMMERCIAL HARBOR ISLAND,71758
Downtown,DOWNTOWN COMMERCIAL,60727
Eastlake,EASTLAKE - EAST,85974
Eastlake,EASTLAKE - WEST,85974
Fauntleroy,FAUNTLEROY SW,96276
First Hill,FIRST HILL,50155
Fremont,FREMONT,82855
Genesee,GENESEE,83940
Georgetown,GEORGETOWN,61161
Greenwood,GREENWOOD,85155
High Point,HIGH POINT,77421
Highland Park,HIGHLAND PARK,54037
Brighton,HILLMAN CITY,59838
Atlantic,JUDKINS PARK/NORTH BEACON HILL,55019
Lake City,LAKECITY,85055
Seward Park,LAKEWOOD/SEWARD PARK,91682
Madison Park,MADISON PARK,157037
Leschi,MADRONA/LESCHI,133171
Magnolia,MAGNOLIA,108518
Mid Beacon Hill,MID BEACON HILL,66461
Stevens,MILLER PARK,110895
Montlake,MONTLAKE/PORTAGE BAY,109077.5
Seaview,MORGAN,93162
Mount Baker,MOUNT BAKER,91830
Brighton,NEW HOLLY,59838
North Admiral,NORTH ADMIRAL,95183
North Beacon Hill,NORTH BEACON HILL,54056
North Delridge,NORTH DELRIDGE,74591
Northgate,NORTHGATE,72154
Phinney Ridge,PHINNEY RIDGE,95706
North Delridge,PIGEON POINT,74591
SoDo,PIONEER SQUARE,55632
Queen Anne,QUEEN ANNE,97017
Ranier Beach,RAINIER BEACH,62141
Riverview,RAINIER VIEW,69872
Ravenna,ROOSEVELT/RAVENNA,101347.5
Arbor Heights,ROXHILL/WESTWOOD/ARBOR HEIGHTS,88976.66667
Sand Point,SANDPOINT,133897
Cascade,SLU/CASCADE,90537.5
SoDo,SODO,55632
South Beacon Hill,SOUTH BEACON HILL,64869
South Delridge,SOUTH DELRIDGE,69028
South Park,SOUTH PARK,44529
University District (U District),UNIVERSITY,51302
Wallingford,WALLINGFORD,87652
